;;срочность;Результат;;;;;;;;;;;;;;;;;;;;;;
37;"Последнее сообщение в чате и в сообщения в КАРТОЧКЕ ЗАКАЗ красным фоном вместо зеленого. Строку ""новые сообщения"" удалить. http://joxi.ru/V2VzyVkCkzRwe2";Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
38;На некоторых мониторах (например 11 и 13) в карточке заказа сообщения в КАРТОЧКЕ ЗАКАЗА налазят друг на друга: http://joxi.ru/n2Y6N47HeQ9GxA;Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
39;Черный фон в вертикальной полосе прокрутки карточки товра должен быть одной ширины с кусочком такой же полосы выше него в шапке. Тоесть полоску в шапке расширить до ширины черной прокрутки http://joxi.ru/4AkNPxwHk7Zky2;Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
40;"В заказа должна быть кнопка сохранить. Кнопка нужна чтобы сохранить новый добавленный заказ и внесенные изменения в уже имеющейся заказ. Изменения в заазе можт делать только Менеджер. Если вносятся изменения в уже ранее заведенный заказ то статус автоматически у этого заказа меняется на ""ИЗМЕНЕН"" чтобы Поставщик видел что в заказе появились изменения. http://joxi.ru/bmoMP7QUy5JLPA";Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
41;"Добавить кнопку ""печать"" в заказе при нажатии на которую информация по заказу переносится в WORD, либо сразу идет на печать.";Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
42;Посмотри в фаерфоксе массовые действия перекрываются прокруткой каталога, сдвинь немного вправо на ширину 2-х букв: http://joxi.ru/nAyWPj3Iwdq7ym;Неважно;исправлено;;;;;;;;;;;;;;;;;;;;;;
43;"В Карточке заказа во вкладке ""задачи"" кнопку ""добавить задачу нужно разместить по центру, сделать ее размер по  высоте и ширине  как у кнопки ""добавить заказ"". http://joxi.ru/l2ZWJD8I7GJkPA После знака ""+"" поставить пробел.";важно;в разработке;;;;;;;;;;;;;;;;;;;;;;
44;"Настроить поиск на GipMar. Для этого ключевые слова (Keywords) из Карточки раздела каталога и Карточки товара учитываются с прямым вхождением запроса. Например раздел каталога называется ""ОГНЕСТОЙКИЕ СЕЙФЫ"" и мы указали ключевые слова ""Сейфы от огня"", ""Огнеупорные сейфы"", ""Сейфы для огня"". И если пользователь задает запрос в поиске ""сейфы от огня"", то ему погазываются все товары из категории ""ОГНЕСТОЙКИЕ СЕЙФЫ"".";Неважно;;;;;;;;;;;;;;;;;;;;;;;
46;"В карточке заказа поле прикрепленных файлов в блоке сообщений/почты должен быть на одном уровне с полем ""заполняется поставщиком http://joxi.ru/nAyWPj3IwPE0km  ";Неважно;;;;;;;;;;;;;;;;;;;;;;;
47;"Устранить баг http://joxi.ru/a2X58PyF4B3wBA который иногда возникает при разворачивании каталога в следствии перехода из одной вкладки в другую (например перешли из ""списов заказов"" в ""настройка каталога"". Приходится обновлять страницу чтобы баг пропал. Пробывал в разных браузерах, он возникает вне зависимости от браузера.";средне;в разработке;;;;;;;;;;;;;;;;;;;;;;
48;"Размер поля ""список заказов"" у нас является эталонным и нужно такого же размера делать все поля (поле ""настройка каталога"" и прочие разделы). Нужно нижний край разворачивающегося кататалога сделать в один уровень с нижнем краем ""списка заказов"" ";Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
49;"Плохо читаемые значения ""посмотреть все"" и ""топ 10 продаж"". http://joxi.ru/brR0XbOtOPDn82  Нужно поиграть с цветом шрифта, вот например: http://joxi.ru/eAOg3jaCkPgBQA , но только так, чтобы было в дизайн сайта.";средне;в разработке;;;;;;;;;;;;;;;;;;;;;;
50;"Вначале вложенности каталога первая вкладка должна быть ""Каталог"" http://joxi.ru/p27DqdeUN4k9DA чтобы можно было перейти в главный раздел каталога из вложенности";Неважно;исправлено;;;;;;;;;;;;;;;;;;;;;;
51;"При нажатии на соответствующий уровень вложенности должны показываться все товары из этого уровня вложенности, а не раздел каталога http://joxi.ru/12MJa0KUkP9GOA При наведении курсора уровень вложенности должен выделяться зеленым цветом (в цвет дизайна сайта)  чтобы пользователю можно было вернуться на требуемый уровень не переходя во вкладку ""Каталог"" http://joxi.ru/5mdXbZpU8WgVgm";Неважно;исправлено;;;;;;;;;;;;;;;;;;;;;;
52;"Во вклвдке ""бреды"" поле ""Описание"" http://joxi.ru/n2Y6N47HePaQpA служит для отображения текста описания при просмотре бренда в развернутом каталоге http://joxi.ru/KAg1l39UKWDGVm ";Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
